City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,298.28,77,94,4.48,YE,1732229294
1,rio grande,-32.035,-52.0986,293.32,72,100,8.94,BR,1732229237
2,rabo de peixe,37.8,-25.5833,291.88,99,20,4.12,PT,1732229294
3,adamstown,-25.066,-130.1015,296.22,88,40,7.1,PN,1732229294
4,as sanamayn,33.0723,36.1838,286.26,68,27,0.39,SY,1732229294
5,west island,-12.1568,96.8225,299.14,94,100,8.75,CC,1732229294
6,port-aux-francais,-49.35,70.2167,276.87,77,41,17.13,TF,1732229294
7,st. john's,47.5649,-52.7093,280.46,97,100,7.6,CA,1732229294
8,al bardiyah,31.7561,25.0865,291.62,61,8,6.43,LY,1732229295
9,isafjordur,66.0755,-23.124,270.16,91,98,8.24,IS,1732229295
10,itupiranga,-5.1347,-49.3267,300.36,67,41,0.72,BR,1732229295
11,hawaiian paradise park,19.5933,-154.9731,296.41,95,100,1.54,US,1732229295
12,howrah,22.5892,88.3103,294.15,78,20,3.6,IN,1732229295
13,droichead nua,53.1819,-6.7967,273.18,72,16,6.05,IE,1732229295
14,puerto natales,-51.7236,-72.4875,289.4,51,75,2.57,CL,1732229295
15,nyala,12.05,24.8833,292.48,20,16,4.7,SD,1732229295
16,anadyr,64.75,177.4833,259.43,84,0,3.0,RU,1732229295
17,aleksandrovsk-sakhalinskiy,50.8975,142.1561,267.73,92,100,3.23,RU,1732229295
18,ouani,-12.1322,44.4258,299.31,81,13,2.85,KM,1732229295
19,atafu village,-8.5421,-172.5159,301.37,73,28,3.41,TK,1732229295
20,magistral'nyy,56.1725,107.4458,261.63,96,48,1.27,RU,1732229295
21,cururupu,-1.8283,-44.8683,297.27,87,5,1.5,BR,1732229295
22,san juan,-31.5375,-68.5364,302.78,27,1,2.8,AR,1732229065
23,tyukhtet,56.5389,89.3011,272.84,92,100,5.08,RU,1732229295
24,cadale,2.7603,46.3222,299.25,73,58,4.44,SO,1732229295
25,rolante,-29.6506,-50.5758,292.47,86,100,1.72,BR,1732229295
26,aljezur,37.3191,-8.8033,288.71,80,48,2.45,PT,1732229296
27,la passe,45.5549,-0.8967,277.52,73,100,3.51,FR,1732229296
28,blackmans bay,-43.0167,147.3167,289.67,71,95,0.45,AU,1732229296
29,sihanoukville,10.6093,103.5296,299.12,83,40,0.51,KH,1732229296
30,el calafate,-50.3408,-72.2768,286.95,61,85,3.75,AR,1732229296
31,grytviken,-54.2811,-36.5092,279.72,68,40,5.17,GS,1732229296
32,zouerate,22.7187,-12.4521,298.66,14,41,3.24,MR,1732229296
33,avarua,-21.2078,-159.775,299.18,53,67,7.72,CK,1732229296
34,mount isa,-20.7333,139.5,302.02,54,23,5.66,AU,1732229296
35,margaret river,-33.95,115.0667,288.18,69,98,4.19,AU,1732229296
36,iwanai,42.9744,140.5089,276.51,83,100,1.46,JP,1732229296
37,gizo,-8.103,156.8419,301.74,75,100,3.46,SB,1732229296
38,ribeira grande,38.5167,-28.7,293.58,94,100,7.6,PT,1732229296
39,ilulissat,69.2167,-51.1,268.16,74,40,7.2,GL,1732229296
40,praia da vitoria,38.7333,-27.0667,292.29,88,40,5.86,PT,1732229296
41,olonkinbyen,70.9221,-8.7187,270.55,65,54,8.76,SJ,1732229296
42,luanda,-8.8368,13.2343,299.15,83,75,3.09,AO,1732229297
43,porangatu,-13.4408,-49.1486,295.95,94,81,1.79,BR,1732229297
44,udachny,66.4167,112.4,263.87,95,100,3.44,RU,1732229297
45,wynyard,-41.0,145.7167,292.14,77,99,2.24,AU,1732229297
46,bolgar,54.95,49.0667,276.53,79,63,12.33,RU,1732229297
47,glace bay,46.1969,-59.957,281.46,99,100,5.14,CA,1732229297
48,ushuaia,-54.8,-68.3,288.96,48,75,6.17,AR,1732229297
49,kenai,60.5544,-151.2583,264.18,73,0,3.09,US,1732229297
50,simanggang,1.2472,111.4528,299.14,94,96,0.0,MY,1732229297
51,carutapera,-1.195,-46.02,299.71,77,11,5.16,BR,1732229297
52,edinburgh of the seven seas,-37.0676,-12.3116,284.65,68,100,5.68,SH,1732229297
53,cidreira,-30.1811,-50.2056,293.14,81,100,9.26,BR,1732229297
54,cabo san lucas,22.8909,-109.9124,301.32,62,0,5.14,MX,1732229297
55,klyuchi,52.2667,79.1667,268.78,96,100,3.74,RU,1732229297
56,hamilton,39.1834,-84.5333,273.6,93,100,4.12,US,1732229283
57,huicungo,-7.2833,-76.8,295.68,99,100,0.56,PE,1732229297
58,waitangi,-43.9535,-176.5597,286.94,74,25,3.58,NZ,1732229298
59,tshikapa,-6.4167,20.8,294.42,93,95,0.22,CD,1732229298
60,iqaluit,63.7506,-68.5145,261.0,84,40,1.54,CA,1732229298
61,yellowknife,62.456,-114.3525,258.44,85,100,1.54,CA,1732229298
62,utrik,11.2278,169.8474,301.6,80,97,8.12,MH,1732229298
63,vernon,50.2581,-119.2691,278.11,80,81,1.54,CA,1732229298
64,nadym,65.5333,72.5167,247.01,100,28,3.07,RU,1732229298
65,port macquarie,-31.4333,152.9167,292.63,94,82,0.89,AU,1732229298
66,mogadishu,2.0371,45.3438,299.44,73,78,4.45,SO,1732228845
67,port mathurin,-19.6833,63.4167,298.13,80,100,8.23,MU,1732229298
68,puerto ayora,-0.7393,-90.3518,296.79,85,65,4.02,EC,1732229298
69,qaqortoq,60.7167,-46.0333,265.82,77,41,3.44,GL,1732229298
70,sandnessjoen,66.0217,12.6316,271.21,50,20,4.63,NO,1732229298
71,las khorey,11.1595,48.1967,299.95,87,97,4.65,SO,1732229298
72,afaahiti,-17.75,-149.2833,296.84,67,92,3.79,PF,1732229298
73,talnakh,69.4865,88.3972,245.41,95,83,6.5,RU,1732229298
74,laon,49.5667,3.6667,271.53,93,83,2.45,FR,1732229298
75,westport,41.1415,-73.3579,281.94,89,100,5.14,US,1732229112
76,tangalle,6.024,80.7911,297.5,91,100,1.52,LK,1732229299
77,saint-pierre,-21.3393,55.4781,298.51,89,89,5.62,RE,1732229299
78,tofol,5.3248,163.0078,302.14,77,98,7.07,FM,1732229299
79,zindah jan,34.3426,61.7468,285.98,61,53,1.32,AF,1732229299
80,thompson,55.7435,-97.8558,268.24,100,100,4.12,CA,1732229299
81,imbituba,-28.24,-48.6703,292.27,87,100,6.86,BR,1732229299
82,masterton,-40.9597,175.6575,288.49,46,62,2.68,NZ,1732229299
83,valentin gomez farias,28.2167,-106.5833,294.44,16,2,3.47,MX,1732229299
84,penticton,49.4806,-119.5858,278.09,87,75,1.54,CA,1732229180
85,enewetak,11.3474,162.3373,301.63,80,2,8.29,MH,1732229299
86,sil-li,39.4947,125.4736,275.31,47,0,6.02,KP,1732229299
87,mitsamiouli,-11.3847,43.2844,299.63,78,23,2.1,KM,1732229299
88,papatowai,-46.5619,169.4708,283.0,81,100,8.49,NZ,1732229299
89,alo,6.5486,4.2686,299.39,85,75,3.02,NG,1732229299
90,college,64.8569,-147.8028,264.12,84,100,0.0,US,1732229299
91,svobodnyy,51.4,128.1333,256.12,93,5,2.87,RU,1732229299
92,east end,34.5507,-92.341,289.99,45,0,3.48,US,1732229299
93,kununurra,-15.7667,128.7333,303.14,70,88,0.0,AU,1732229299
94,ust-nera,64.5667,143.2,239.9,99,74,1.82,RU,1732229300
95,kharabali,47.4196,47.2568,279.54,73,22,8.19,RU,1732229300
96,stanley,54.868,-1.6985,274.42,86,20,6.69,GB,1732229300
97,codrington,-38.2667,141.9667,299.66,29,85,2.79,AU,1732229300
98,errachidia,31.9275,-4.4285,288.18,44,0,3.09,MA,1732229300
99,kuanda,56.3161,116.0806,254.3,97,75,1.08,RU,1732229300
